,game_id,role,round_num,rule_idx,text,time
0,7930-bed65240-b8a7-4125-8b58-f411f2638aae,explorer,0,0,"""Hey goofus""",{'$numberLong': '1707267127956'}
1,7930-bed65240-b8a7-4125-8b58-f411f2638aae,student,0,0,"""that's kinda rude""",{'$numberLong': '1707267132684'}
2,7930-bed65240-b8a7-4125-8b58-f411f2638aae,explorer,0,0,"""you're kinda rude""",{'$numberLong': '1707267136977'}
3,7930-bed65240-b8a7-4125-8b58-f411f2638aae,explorer,0,0,"""anyway I didn't pay attention at all""",{'$numberLong': '1707267140865'}
4,7930-bed65240-b8a7-4125-8b58-f411f2638aae,explorer,0,0,"""so idk just click randomly""",{'$numberLong': '1707267149680'}
5,7930-bed65240-b8a7-4125-8b58-f411f2638aae,student,0,0,"""I'll click your face randomly""",{'$numberLong': '1707267154664'}
6,8029-23ce2010-d3fb-4ace-988e-39214734a122,explorer,0,32,"""White leaves or something else I couldn't figure out. But if the leaves are white it's a zorb.""",{'$numberLong': '1707267410518'}
7,8029-23ce2010-d3fb-4ace-988e-39214734a122,explorer,1,2,"""morseths have fangs""",{'$numberLong': '1707267492172'}
8,8029-23ce2010-d3fb-4ace-988e-39214734a122,explorer,2,22,"""I think it's orange tails or white wings""",{'$numberLong': '1707267676903'}
9,8029-23ce2010-d3fb-4ace-988e-39214734a122,explorer,2,22,"""they look like little birdykinz""",{'$numberLong': '1707267684936'}
10,8029-23ce2010-d3fb-4ace-988e-39214734a122,explorer,3,42,"""/tbh I wasn't paying attention""",{'$numberLong': '1707267980945'}
11,8029-23ce2010-d3fb-4ace-988e-39214734a122,student,3,42,"""you gobshite""",{'$numberLong': '1707267984817'}
12,8029-23ce2010-d3fb-4ace-988e-39214734a122,explorer,3,42,"""sorry""",{'$numberLong': '1707267987250'}
13,8029-23ce2010-d3fb-4ace-988e-39214734a122,student,3,42,"""welp guess I'm just going to guess""",{'$numberLong': '1707267999869'}
14,8029-23ce2010-d3fb-4ace-988e-39214734a122,explorer,3,42,"""yeah good luck""",{'$numberLong': '1707268004795'}
15,8029-23ce2010-d3fb-4ace-988e-39214734a122,student,3,42,"""ya doof""",{'$numberLong': '1707268007205'}
16,8029-23ce2010-d3fb-4ace-988e-39214734a122,explorer,4,12,"""white wings or purple legs""",{'$numberLong': '1707268093313'}
17,8029-23ce2010-d3fb-4ace-988e-39214734a122,student,4,12,"""thank you for actually paying attention this time""",{'$numberLong': '1707268099589'}
18,8029-23ce2010-d3fb-4ace-988e-39214734a122,explorer,4,12,"""yeah of course bro""",{'$numberLong': '1707268105084'}
19,2748-d7b45954-988c-4082-b6c4-2d92067ec2c3,explorer,0,35,"""generally, the things that are orange and spikey and have 3 swirls are zorbs, but not always""",{'$numberLong': '1707336780766'}
20,2748-d7b45954-988c-4082-b6c4-2d92067ec2c3,explorer,1,5,"""this ones easier it's everything that doesn't have wings and just has lots of legs""",{'$numberLong': '1707336906984'}
21,2748-d7b45954-988c-4082-b6c4-2d92067ec2c3,explorer,2,45,"""so they have to have the really long whiskers""",{'$numberLong': '1707337143363'}
22,2748-d7b45954-988c-4082-b6c4-2d92067ec2c3,explorer,2,45,"""and then they either have purple as the main body color""",{'$numberLong': '1707337153966'}
23,2748-d7b45954-988c-4082-b6c4-2d92067ec2c3,explorer,2,45,"""or they have white stripes""",{'$numberLong': '1707337157755'}
24,2748-d7b45954-988c-4082-b6c4-2d92067ec2c3,explorer,3,25,"""not a clue""",{'$numberLong': '1707337310418'}
25,2748-d7b45954-988c-4082-b6c4-2d92067ec2c3,explorer,4,15,"""orange wings and atail""",{'$numberLong': '1707337415567'}
26,1238-0ae11de8-a557-4d5a-83c0-504fd7db0166,explorer,0,6,"""hi!""",{'$numberLong': '1707712666623'}
27,1238-0ae11de8-a557-4d5a-83c0-504fd7db0166,explorer,0,6,"""you here?""",{'$numberLong': '1707712669815'}
28,1238-0ae11de8-a557-4d5a-83c0-504fd7db0166,student,0,6,"""hello!""",{'$numberLong': '1707712671143'}
29,1238-0ae11de8-a557-4d5a-83c0-504fd7db0166,student,0,6,"""yes!""",{'$numberLong': '1707712673560'}
30,1238-0ae11de8-a557-4d5a-83c0-504fd7db0166,explorer,0,6,"""so""",{'$numberLong': '1707712674681'}
31,1238-0ae11de8-a557-4d5a-83c0-504fd7db0166,explorer,0,6,"""morseth's must have a tail""",{'$numberLong': '1707712679263'}
32,1238-0ae11de8-a557-4d5a-83c0-504fd7db0166,explorer,0,6,"""i think that's the only requirement""",{'$numberLong': '1707712683868'}
33,1238-0ae11de8-a557-4d5a-83c0-504fd7db0166,student,0,6,"""cool""",{'$numberLong': '1707712690718'}
