workerid,proliferate.condition,ask,correct,failed_audio,failed_images,failed_video,group,internal_node_id,left,response,right,rt,stimulus,success,time_elapsed,timeout,trial_index,trial_type,type,error
46,long,big,True,,,,preset,0.0-8.0-1.37,Small-visSmall/25_56.jpg,m,Big-visBig/25_10.jpg,856,"
            <img src=""Small-visSmall/25_56.jpg"" style=""margin-right: 50px""> 
            <img src=""Big-visBig/25_10.jpg"" style=""margin-left: 50px"">
            ",,209473,,148,html-keyboard-response,congruent,
46,long,,,,,,,0.0-8.0-2.37,,,,,,,210386,,149,html-keyboard-response,,
46,long,,,,,,,0.0-8.0-0.38,,,,,"<div style=""font-size:60px;"">+</div>",,211089,,150,html-keyboard-response,,
46,long,big,True,,,,preset,0.0-8.0-1.38,Big-visSmall/11_40.jpg,m,Small-visBig/11_71.jpg,621,"
            <img src=""Big-visSmall/11_40.jpg"" style=""margin-right: 50px""> 
            <img src=""Small-visBig/11_71.jpg"" style=""margin-left: 50px"">
            ",,211711,,151,html-keyboard-response,incongruent,
46,long,,,,,,,0.0-8.0-2.38,,,,,,,212628,,152,html-keyboard-response,,
46,long,,,,,,,0.0-8.0-0.39,,,,,"<div style=""font-size:60px;"">+</div>",,213344,,153,html-keyboard-response,,
46,long,big,True,,,,preset,0.0-8.0-1.39,Big-visSmall/17_21.jpg,m,Small-visBig/17_80.jpg,567,"
            <img src=""Big-visSmall/17_21.jpg"" style=""margin-right: 50px""> 
            <img src=""Small-visBig/17_80.jpg"" style=""margin-left: 50px"">
            ",,213912,,154,html-keyboard-response,incongruent,
46,long,,,,,,,0.0-8.0-2.39,,,,,,,214816,,155,html-keyboard-response,,
46,long,,,,,,,0.0-8.0-0.40,,,,,"<div style=""font-size:60px;"">+</div>",,215527,,156,html-keyboard-response,,
46,long,big,True,,,,preset,0.0-8.0-1.40,Big-visBig/27_18.jpg,c,Small-visSmall/27_63.jpg,504,"
            <img src=""Big-visBig/27_18.jpg"" style=""margin-right: 50px""> 
            <img src=""Small-visSmall/27_63.jpg"" style=""margin-left: 50px"">
            ",,216032,,157,html-keyboard-response,congruent,
46,long,,,,,,,0.0-8.0-2.40,,,,,,,216940,,158,html-keyboard-response,,
46,long,,,,,,,0.0-8.0-0.41,,,,,"<div style=""font-size:60px;"">+</div>",,217655,,159,html-keyboard-response,,
46,long,big,True,,,,preset,0.0-8.0-1.41,Big-visSmall/22_26.jpg,m,Small-visBig/22_65.jpg,626,"
            <img src=""Big-visSmall/22_26.jpg"" style=""margin-right: 50px""> 
            <img src=""Small-visBig/22_65.jpg"" style=""margin-left: 50px"">
            ",,218282,,160,html-keyboard-response,incongruent,
46,long,,,,,,,0.0-8.0-2.41,,,,,,,219184,,161,html-keyboard-response,,
46,long,,,,,,,0.0-8.0-0.42,,,,,"<div style=""font-size:60px;"">+</div>",,219896,,162,html-keyboard-response,,
46,long,big,True,,,,preset,0.0-8.0-1.42,Big-visSmall/04_05.jpg,m,Small-visBig/04_48.jpg,599,"
            <img src=""Big-visSmall/04_05.jpg"" style=""margin-right: 50px""> 
            <img src=""Small-visBig/04_48.jpg"" style=""margin-left: 50px"">
            ",,220497,,163,html-keyboard-response,incongruent,
46,long,,,,,,,0.0-8.0-2.42,,,,,,,221403,,164,html-keyboard-response,,
46,long,,,,,,,0.0-8.0-0.43,,,,,"<div style=""font-size:60px;"">+</div>",,222115,,165,html-keyboard-response,,
46,long,big,True,,,,preset,0.0-8.0-1.43,Big-visBig/21_31.jpg,c,Small-visSmall/21_52.jpg,502,"
            <img src=""Big-visBig/21_31.jpg"" style=""margin-right: 50px""> 
            <img src=""Small-visSmall/21_52.jpg"" style=""margin-left: 50px"">
            ",,222618,,166,html-keyboard-response,congruent,
46,long,,,,,,,0.0-8.0-2.43,,,,,,,223529,,167,html-keyboard-response,,
46,long,,,,,,,0.0-8.0-0.44,,,,,"<div style=""font-size:60px;"">+</div>",,224244,,168,html-keyboard-response,,
46,long,big,True,,,,preset,0.0-8.0-1.44,Big-visBig/25_10.jpg,c,Small-visSmall/25_56.jpg,588,"
            <img src=""Big-visBig/25_10.jpg"" style=""margin-right: 50px""> 
            <img src=""Small-visSmall/25_56.jpg"" style=""margin-left: 50px"">
            ",,224834,,169,html-keyboard-response,congruent,
46,long,,,,,,,0.0-8.0-2.44,,,,,,,225750,,170,html-keyboard-response,,
46,long,,,,,,,0.0-8.0-0.45,,,,,"<div style=""font-size:60px;"">+</div>",,226466,,171,html-keyboard-response,,
46,long,big,True,,,,preset,0.0-8.0-1.45,Small-visBig/06_43.jpg,c,Big-visSmall/06_02.jpg,588,"
            <img src=""Small-visBig/06_43.jpg"" style=""margin-right: 50px""> 
            <img src=""Big-visSmall/06_02.jpg"" style=""margin-left: 50px"">
            ",,227056,,172,html-keyboard-response,incongruent,
46,long,,,,,,,0.0-8.0-2.45,,,,,,,227970,,173,html-keyboard-response,,
46,long,,,,,,,0.0-8.0-0.46,,,,,"<div style=""font-size:60px;"">+</div>",,228677,,174,html-keyboard-response,,
46,long,big,True,,,,preset,0.0-8.0-1.46,Small-visSmall/05_54.jpg,m,Big-visBig/05_25.jpg,641,"
            <img src=""Small-visSmall/05_54.jpg"" style=""margin-right: 50px""> 
            <img src=""Big-visBig/05_25.jpg"" style=""margin-left: 50px"">
            ",,229319,,175,html-keyboard-response,congruent,
46,long,,,,,,,0.0-8.0-2.46,,,,,,,230231,,176,html-keyboard-response,,
46,long,,,,,,,0.0-8.0-0.47,,,,,"<div style=""font-size:60px;"">+</div>",,230948,,177,html-keyboard-response,,
46,long,big,True,,,,preset,0.0-8.0-1.47,Small-visBig/27_63.jpg,c,Big-visSmall/27_18.jpg,547,"
            <img src=""Small-visBig/27_63.jpg"" style=""margin-right: 50px""> 
            <img src=""Big-visSmall/27_18.jpg"" style=""margin-left: 50px"">
            ",,231495,,178,html-keyboard-response,incongruent,
46,long,,,,,,,0.0-8.0-2.47,,,,,,,232406,,179,html-keyboard-response,,
46,long,,,,,,,0.0-8.0-0.48,,,,,"<div style=""font-size:60px;"">+</div>",,233120,,180,html-keyboard-response,,
