workerid,proliferate.condition,ask,correct,failed_audio,failed_images,failed_video,group,internal_node_id,left,response,right,rt,stimulus,success,time_elapsed,timeout,trial_index,trial_type,type,error
14,long,small,False,,,,preset,0.0-11.0-1.33,Big-visBig/05_25.jpg,c,Small-visSmall/05_54.jpg,509,"
            <img src=""Big-visBig/05_25.jpg"" style=""margin-right: 50px""> 
            <img src=""Small-visSmall/05_54.jpg"" style=""margin-left: 50px"">
            ",,474539,,510,html-keyboard-response,congruent,
14,long,,,,,,,0.0-11.0-2.33,,,,,"<div style=""font-size:60px; color:#FF0000""><p>Incorrect!</p></div>",,480043,,511,html-keyboard-response,,
14,long,,,,,,,0.0-11.0-0.34,,,,,"<div style=""font-size:60px;"">+</div>",,480744,,512,html-keyboard-response,,
14,long,small,True,,,,preset,0.0-11.0-1.34,Small-visSmall/04_48.jpg,c,Big-visBig/04_05.jpg,630,"
            <img src=""Small-visSmall/04_48.jpg"" style=""margin-right: 50px""> 
            <img src=""Big-visBig/04_05.jpg"" style=""margin-left: 50px"">
            ",,481374,,513,html-keyboard-response,congruent,
14,long,,,,,,,0.0-11.0-2.34,,,,,,,482275,,514,html-keyboard-response,,
14,long,,,,,,,0.0-11.0-0.35,,,,,"<div style=""font-size:60px;"">+</div>",,482976,,515,html-keyboard-response,,
14,long,small,True,,,,preset,0.0-11.0-1.35,Big-visSmall/03_36.jpg,c,Small-visBig/03_57.jpg,648,"
            <img src=""Big-visSmall/03_36.jpg"" style=""margin-right: 50px""> 
            <img src=""Small-visBig/03_57.jpg"" style=""margin-left: 50px"">
            ",,483625,,516,html-keyboard-response,incongruent,
14,long,,,,,,,0.0-11.0-2.35,,,,,,,484525,,517,html-keyboard-response,,
14,long,,,,,,,0.0-11.0-0.36,,,,,"<div style=""font-size:60px;"">+</div>",,485227,,518,html-keyboard-response,,
14,long,small,True,,,,preset,0.0-11.0-1.36,Big-visSmall/18_23.jpg,c,Small-visBig/19_41.jpg,463,"
            <img src=""Big-visSmall/18_23.jpg"" style=""margin-right: 50px""> 
            <img src=""Small-visBig/19_41.jpg"" style=""margin-left: 50px"">
            ",,485691,,519,html-keyboard-response,incongruent,
14,long,,,,,,,0.0-11.0-2.36,,,,,,,486592,,520,html-keyboard-response,,
14,long,,,,,,,0.0-11.0-0.37,,,,,"<div style=""font-size:60px;"">+</div>",,487294,,521,html-keyboard-response,,
14,long,small,True,,,,preset,0.0-11.0-1.37,Small-visSmall/14_67.jpg,c,Big-visBig/14_34.jpg,847,"
            <img src=""Small-visSmall/14_67.jpg"" style=""margin-right: 50px""> 
            <img src=""Big-visBig/14_34.jpg"" style=""margin-left: 50px"">
            ",,488143,,522,html-keyboard-response,congruent,
14,long,,,,,,,0.0-11.0-2.37,,,,,,,489043,,523,html-keyboard-response,,
14,long,,,,,,,0.0-11.0-0.38,,,,,"<div style=""font-size:60px;"">+</div>",,489745,,524,html-keyboard-response,,
14,long,small,True,,,,preset,0.0-11.0-1.38,Big-visSmall/10_09.jpg,c,Small-visBig/10_59.jpg,510,"
            <img src=""Big-visSmall/10_09.jpg"" style=""margin-right: 50px""> 
            <img src=""Small-visBig/10_59.jpg"" style=""margin-left: 50px"">
            ",,490255,,525,html-keyboard-response,incongruent,
14,long,,,,,,,0.0-11.0-2.38,,,,,,,491156,,526,html-keyboard-response,,
14,long,,,,,,,0.0-11.0-0.39,,,,,"<div style=""font-size:60px;"">+</div>",,491858,,527,html-keyboard-response,,
14,long,small,True,,,,preset,0.0-11.0-1.39,Small-visSmall/22_65.jpg,c,Big-visBig/21_31.jpg,596,"
            <img src=""Small-visSmall/22_65.jpg"" style=""margin-right: 50px""> 
            <img src=""Big-visBig/21_31.jpg"" style=""margin-left: 50px"">
            ",,492456,,528,html-keyboard-response,congruent,
14,long,,,,,,,0.0-11.0-2.39,,,,,,,493357,,529,html-keyboard-response,,
14,long,,,,,,,0.0-11.0-0.40,,,,,"<div style=""font-size:60px;"">+</div>",,494059,,530,html-keyboard-response,,
14,long,small,True,,,,preset,0.0-11.0-1.40,Big-visBig/12_13.jpg,m,Small-visSmall/12_58.jpg,618,"
            <img src=""Big-visBig/12_13.jpg"" style=""margin-right: 50px""> 
            <img src=""Small-visSmall/12_58.jpg"" style=""margin-left: 50px"">
            ",,494677,,531,html-keyboard-response,congruent,
14,long,,,,,,,0.0-11.0-2.40,,,,,,,495578,,532,html-keyboard-response,,
14,long,,,,,,,0.0-11.0-0.41,,,,,"<div style=""font-size:60px;"">+</div>",,496280,,533,html-keyboard-response,,
14,long,small,True,,,,preset,0.0-11.0-1.41,Small-visSmall/07_51.jpg,c,Big-visBig/07_33.jpg,596,"
            <img src=""Small-visSmall/07_51.jpg"" style=""margin-right: 50px""> 
            <img src=""Big-visBig/07_33.jpg"" style=""margin-left: 50px"">
            ",,496877,,534,html-keyboard-response,congruent,
14,long,,,,,,,0.0-11.0-2.41,,,,,,,497778,,535,html-keyboard-response,,
14,long,,,,,,,0.0-11.0-0.42,,,,,"<div style=""font-size:60px;"">+</div>",,498480,,536,html-keyboard-response,,
14,long,small,True,,,,preset,0.0-11.0-1.42,Small-visBig/15_72.jpg,m,Big-visSmall/14_34.jpg,581,"
            <img src=""Small-visBig/15_72.jpg"" style=""margin-right: 50px""> 
            <img src=""Big-visSmall/14_34.jpg"" style=""margin-left: 50px"">
            ",,499061,,537,html-keyboard-response,incongruent,
14,long,,,,,,,0.0-11.0-2.42,,,,,,,499962,,538,html-keyboard-response,,
14,long,,,,,,,0.0-11.0-0.43,,,,,"<div style=""font-size:60px;"">+</div>",,500663,,539,html-keyboard-response,,
14,long,small,True,,,,preset,0.0-11.0-1.43,Big-visBig/26_32.jpg,m,Small-visSmall/27_63.jpg,583,"
            <img src=""Big-visBig/26_32.jpg"" style=""margin-right: 50px""> 
            <img src=""Small-visSmall/27_63.jpg"" style=""margin-left: 50px"">
            ",,501247,,540,html-keyboard-response,congruent,
14,long,,,,,,,0.0-11.0-2.43,,,,,,,502149,,541,html-keyboard-response,,
14,long,,,,,,,0.0-11.0-0.44,,,,,"<div style=""font-size:60px;"">+</div>",,502850,,542,html-keyboard-response,,
14,long,small,True,,,,preset,0.0-11.0-1.44,Big-visSmall/20_38.jpg,c,Small-visBig/21_52.jpg,474,"
            <img src=""Big-visSmall/20_38.jpg"" style=""margin-right: 50px""> 
            <img src=""Small-visBig/21_52.jpg"" style=""margin-left: 50px"">
            ",,503325,,543,html-keyboard-response,incongruent,
14,long,,,,,,,0.0-11.0-2.44,,,,,,,504226,,544,html-keyboard-response,,
14,long,,,,,,,0.0-11.0-0.45,,,,,"<div style=""font-size:60px;"">+</div>",,504927,,545,html-keyboard-response,,
14,long,small,True,,,,preset,0.0-11.0-1.45,Big-visBig/14_34.jpg,m,Small-visSmall/15_72.jpg,806,"
            <img src=""Big-visBig/14_34.jpg"" style=""margin-right: 50px""> 
            <img src=""Small-visSmall/15_72.jpg"" style=""margin-left: 50px"">
            ",,505734,,546,html-keyboard-response,congruent,
14,long,,,,,,,0.0-11.0-2.45,,,,,,,506635,,547,html-keyboard-response,,
14,long,,,,,,,0.0-11.0-0.46,,,,,"<div style=""font-size:60px;"">+</div>",,507336,,548,html-keyboard-response,,
14,long,small,True,,,,preset,0.0-11.0-1.46,Small-visBig/28_47.jpg,m,Big-visSmall/27_18.jpg,661,"
            <img src=""Small-visBig/28_47.jpg"" style=""margin-right: 50px""> 
            <img src=""Big-visSmall/27_18.jpg"" style=""margin-left: 50px"">
            ",,507997,,549,html-keyboard-response,incongruent,
14,long,,,,,,,0.0-11.0-2.46,,,,,,,508898,,550,html-keyboard-response,,
14,long,,,,,,,0.0-11.0-0.47,,,,,"<div style=""font-size:60px;"">+</div>",,509600,,551,html-keyboard-response,,
14,long,small,True,,,,preset,0.0-11.0-1.47,Big-visSmall/23_16.jpg,c,Small-visBig/24_61.jpg,570,"
            <img src=""Big-visSmall/23_16.jpg"" style=""margin-right: 50px""> 
            <img src=""Small-visBig/24_61.jpg"" style=""margin-left: 50px"">
            ",,510170,,552,html-keyboard-response,incongruent,
14,long,,,,,,,0.0-11.0-2.47,,,,,,,511070,,553,html-keyboard-response,,
14,long,,,,,,,0.0-11.0-0.48,,,,,"<div style=""font-size:60px;"">+</div>",,511772,,554,html-keyboard-response,,
14,long,small,True,,,,preset,0.0-11.0-1.48,Small-visSmall/10_59.jpg,c,Big-visBig/10_09.jpg,1134,"
            <img src=""Small-visSmall/10_59.jpg"" style=""margin-right: 50px""> 
            <img src=""Big-visBig/10_09.jpg"" style=""margin-left: 50px"">
            ",,512908,,555,html-keyboard-response,congruent,
14,long,,,,,,,0.0-11.0-2.48,,,,,,,513810,,556,html-keyboard-response,,
14,long,,,,,,,0.0-11.0-0.49,,,,,"<div style=""font-size:60px;"">+</div>",,514510,,557,html-keyboard-response,,
14,long,small,True,,,,preset,0.0-11.0-1.49,Big-visSmall/25_10.jpg,c,Small-visBig/26_42.jpg,661,"
            <img src=""Big-visSmall/25_10.jpg"" style=""margin-right: 50px""> 
            <img src=""Small-visBig/26_42.jpg"" style=""margin-left: 50px"">
            ",,515171,,558,html-keyboard-response,incongruent,
14,long,,,,,,,0.0-11.0-2.49,,,,,,,516072,,559,html-keyboard-response,,
14,long,,,,,,,0.0-11.0-0.50,,,,,"<div style=""font-size:60px;"">+</div>",,516774,,560,html-keyboard-response,,
14,long,small,True,,,,preset,0.0-11.0-1.50,Small-visSmall/06_43.jpg,c,Big-visBig/06_02.jpg,469,"
            <img src=""Small-visSmall/06_43.jpg"" style=""margin-right: 50px""> 
            <img src=""Big-visBig/06_02.jpg"" style=""margin-left: 50px"">
            ",,517244,,561,html-keyboard-response,congruent,
14,long,,,,,,,0.0-11.0-2.50,,,,,,,518145,,562,html-keyboard-response,,
14,long,,,,,,,0.0-11.0-0.51,,,,,"<div style=""font-size:60px;"">+</div>",,518846,,563,html-keyboard-response,,
14,long,small,True,,,,preset,0.0-11.0-1.51,Big-visSmall/05_25.jpg,c,Small-visBig/05_54.jpg,448,"
            <img src=""Big-visSmall/05_25.jpg"" style=""margin-right: 50px""> 
            <img src=""Small-visBig/05_54.jpg"" style=""margin-left: 50px"">
            ",,519296,,564,html-keyboard-response,incongruent,
14,long,,,,,,,0.0-11.0-2.51,,,,,,,520197,,565,html-keyboard-response,,
14,long,,,,,,,0.0-11.0-0.52,,,,,"<div style=""font-size:60px;"">+</div>",,520901,,566,html-keyboard-response,,
14,long,small,True,,,,preset,0.0-11.0-1.52,Big-visSmall/07_33.jpg,c,Small-visBig/07_51.jpg,386,"
            <img src=""Big-visSmall/07_33.jpg"" style=""margin-right: 50px""> 
            <img src=""Small-visBig/07_51.jpg"" style=""margin-left: 50px"">
            ",,521287,,567,html-keyboard-response,incongruent,
