workerid,is_practice,ask,type,correct,rt,left,right,response,trial_index
14,practice,big,congruent,TRUE,1603,Big-visBig/11_40.jpg,Small-visSmall/16_73.jpg,c,4
14,practice,big,incongruent,TRUE,883,Small-visBig/18_76.jpg,Big-visSmall/10_09.jpg,c,7
14,practice,big,congruent,TRUE,613,Big-visBig/19_17.jpg,Small-visSmall/10_59.jpg,c,10
14,practice,big,congruent,TRUE,775,Small-visSmall/21_52.jpg,Big-visBig/08_35.jpg,m,13
14,practice,big,incongruent,TRUE,1037,Big-visSmall/04_05.jpg,Small-visBig/27_63.jpg,m,16
14,practice,small,incongruent,TRUE,600,Big-visSmall/02_08.jpg,Small-visBig/23_70.jpg,c,20
14,practice,small,congruent,TRUE,716,Small-visSmall/05_54.jpg,Big-visBig/05_25.jpg,c,23
14,practice,small,congruent,TRUE,691,Big-visBig/28_12.jpg,Small-visSmall/26_42.jpg,m,26
14,practice,small,congruent,TRUE,693,Small-visSmall/22_65.jpg,Big-visBig/14_34.jpg,c,29
14,practice,small,incongruent,TRUE,663,Big-visSmall/11_40.jpg,Small-visBig/16_73.jpg,c,32
14,critical,big,incongruent,TRUE,1341,Small-visBig/24_61.jpg,Big-visSmall/23_16.jpg,c,37
14,critical,big,incongruent,TRUE,595,Small-visBig/21_52.jpg,Big-visSmall/20_38.jpg,c,40
14,critical,big,congruent,TRUE,575,Big-visBig/21_31.jpg,Small-visSmall/22_65.jpg,c,43
14,critical,big,incongruent,TRUE,620,Big-visSmall/09_15.jpg,Small-visBig/09_64.jpg,m,46
14,critical,big,incongruent,TRUE,525,Small-visBig/09_64.jpg,Big-visSmall/09_15.jpg,c,49
14,critical,big,congruent,TRUE,560,Small-visSmall/28_47.jpg,Big-visBig/27_18.jpg,m,52
14,critical,big,congruent,TRUE,586,Small-visSmall/23_70.jpg,Big-visBig/22_26.jpg,m,55
14,critical,big,congruent,TRUE,569,Small-visSmall/21_52.jpg,Big-visBig/20_38.jpg,m,58
14,critical,big,congruent,TRUE,561,Big-visBig/26_32.jpg,Small-visSmall/27_63.jpg,c,61
14,critical,big,congruent,TRUE,490,Big-visBig/29_03.jpg,Small-visSmall/30_50.jpg,c,64
14,critical,big,congruent,TRUE,511,Small-visSmall/12_58.jpg,Big-visBig/12_13.jpg,m,67
14,critical,big,congruent,TRUE,492,Big-visBig/18_23.jpg,Small-visSmall/19_41.jpg,c,70
14,critical,big,congruent,TRUE,518,Big-visBig/03_36.jpg,Small-visSmall/03_57.jpg,c,73
14,critical,big,congruent,TRUE,502,Small-visSmall/04_48.jpg,Big-visBig/04_05.jpg,m,76
14,critical,big,incongruent,TRUE,627,Big-visSmall/22_26.jpg,Small-visBig/23_70.jpg,m,79
14,critical,big,congruent,TRUE,593,Small-visSmall/30_50.jpg,Big-visBig/29_03.jpg,m,82
14,critical,big,incongruent,TRUE,574,Big-visSmall/02_08.jpg,Small-visBig/02_44.jpg,m,85
14,critical,big,incongruent,TRUE,1068,Big-visSmall/29_03.jpg,Small-visBig/30_50.jpg,m,88
14,critical,big,congruent,TRUE,595,Big-visBig/27_18.jpg,Small-visSmall/28_47.jpg,c,91
14,critical,big,incongruent,TRUE,557,Small-visBig/28_47.jpg,Big-visSmall/27_18.jpg,c,94
14,critical,big,congruent,TRUE,515,Small-visSmall/05_54.jpg,Big-visBig/05_25.jpg,m,97
14,critical,big,incongruent,TRUE,642,Big-visSmall/23_16.jpg,Small-visBig/24_61.jpg,m,100
14,critical,big,incongruent,TRUE,561,Small-visBig/16_73.jpg,Big-visSmall/15_29.jpg,c,103
14,critical,big,incongruent,TRUE,627,Small-visBig/08_45.jpg,Big-visSmall/08_35.jpg,c,106
